series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;MNE;FREQ;DOMAINE;ACTIVITE;VARIABLE;ZONE_GEO;CATEGORIE;POPULATION;CONTREPARTIE;CONSOLIDATION;UNIT;DECIMALS;UNIT_MULT;ADJUSTMENT;TIME_FORMAT;SOURCE_AGENCY;TIME_PER_COLLECT;OBS_CONF;OBS_STATUS
ACPR.A.BQ.RISQUES.DERIV_ACTIF_GRE_GRE.45._Z._Z.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;611,21;2025-03-18T17:10:27+00:00;ACPR;Montant à l'actif de dérivés de gré à gré;Dérivés de gré à gré (Actifs);DERIV_ACTIF_GRE_GRE;A;BQ;_Z;45;_Z;RISQUES;TOP6_AUT_GROUPES;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_CLIENT.34.US.ENF.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;101,01;2025-03-18T17:10:27+00:00;ACPR;Crédits aux entreprises non financières - États-Unis;Crédits aux entreprises non financières - États-Unis;CRED_CLIENT;A;BQ;_Z;34;US;RISQUES;TOP6_AUT_GROUPES;ENF;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_EQUIP.35._Z.MENAGES.SOLO._Z.TOTAL_SECTEUR;2020;2020-01-01;2020-12-31;39,6;2025-03-18T17:10:27+00:00;ACPR;Crédits à l'équipement aux Ménages;Crédits à l'équipement aux Ménages;CRED_EQUIP;A;BQ;_Z;35;_Z;RISQUES;TOTAL_SECTEUR;MENAGES;SOLO;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_TRESO.38._Z.APU.SOLO._Z.TOTAL_SECTEUR;2020;2020-01-01;2020-12-31;5,94;2025-03-18T17:10:27+00:00;ACPR;Crédits de trésorerie aux administrations publiques;Crédits de trésorerie aux administrations publiques;CRED_TRESO;A;BQ;_Z;38;_Z;RISQUES;TOTAL_SECTEUR;APU;SOLO;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TX_PROV.572._Z.NACE_P.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;78,6;2025-03-18T17:10:29+00:00;ACPR;Taux de provisionnement du secteur de l'enseignement;Taux de provisionnement du secteur de l'enseignement;TX_PROV;A;BQ;_Z;572;_Z;RISQUES;TOP6_AUT_GROUPES;NACE_P;PHNC;PC;2;0;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.ACTFR_CLIENT_RE_TTES_DEV2360.43._Z._Z.SOLO._Z.TOTAL_SECTEUR;2020;2020-01-01;2020-12-31;173,76;2025-03-20T09:10:29+00:00;ACPR;Comptes à terme de la clientèle non financière;Comptes à terme de la clientèle non financière;ACTFR_CLIENT_RE_TTES_DEV2360;A;BQ;_Z;43;_Z;RISQUES;TOTAL_SECTEUR;_Z;SOLO;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CREDITS_BRUTS_MENAGES_ENF_PAYS.40.PL.MENAGES_ENF.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;29,45;2025-03-18T17:10:27+00:00;ACPR;Crédits bruts aux ménages et entreprises non financières en Pologne;Crédits bruts aux ménages et entreprises non financières en Pologne;CREDITS_BRUTS_MENAGES_ENF_PAYS;A;BQ;_Z;40;PL;RISQUES;TOP6_AUT_GROUPES;MENAGES_ENF;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.DERIV_ACTIF_ORGA.46._Z._Z.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;42,96;2025-03-18T17:10:27+00:00;ACPR;Montant à l'actif de dérivés sur marchés organisés;Dérivés sur marchés organisés (Actif);DERIV_ACTIF_ORGA;A;BQ;_Z;46;_Z;RISQUES;TOP6_AUT_GROUPES;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.DT_PL_PTF_NEGO.58._Z.APU.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;16,0;2025-03-18T17:10:27+00:00;ACPR;Dépôts et titres des Administrations Publiques donnés en pension livrée du portefeuille de négociation;Dépôts et titres des Administrations Publiques donnés en pension livrée du portefeuille de négociation;DT_PL_PTF_NEGO;A;BQ;_Z;58;_Z;RISQUES;TOP6_AUT_GROUPES;APU;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.DT_PL_PTF_NEGO.58._Z.EC.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;134,0;2025-03-18T17:10:27+00:00;ACPR;Dépôts et titres des établissements de crédit donnés en pension livrée du portefeuille de négociation;Dépôts et titres des établissements de crédit donnés en pension livrée du portefeuille de négociation;DT_PL_PTF_NEGO;A;BQ;_Z;58;_Z;RISQUES;TOP6_AUT_GROUPES;EC;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
